Name,Budget,Year,Genre,Rating,Letterboxd URI,Length
Guardians of the Galaxy Vol. 3,"$250,000,000",2023,,4,https://boxd.it/fVNI,
Hellbound: Hellraiser II,"$6,000,000",1988,,4,https://boxd.it/1ZfW,
Hellraiser,"$1,000,000",1987,,5,https://boxd.it/1Zpi,
Hellraiser III: Hell on Earth,"$5,000,000",1992,,3,https://boxd.it/1TwW,
Hellraiser: Bloodline,"$4,000,000",1996,,3,https://boxd.it/1ZSk,
Hellraiser: Deader,"$2,000,000",2005,,3,https://boxd.it/1IEA,
Hellraiser: Hellseeker,"$5,000,000",2002,,3,https://boxd.it/1Uh4,
Hellraiser: Hellworld,"$5,000,000",2005,,3,https://boxd.it/1Rom,
Hellraiser: Inferno,"$2,000,000",2000,,4,https://boxd.it/1RCe,
Hellraiser: Revelations,"$300,000",2011,,3,https://boxd.it/2ta8,
Help! I'm a Fish,"$18,000,000",2000,,4,https://boxd.it/1RAs,
Hercules,"$85,000,000",1997,,5,https://boxd.it/1SDW,
Horton Hears a Who!,"$85,000,000",2008,,3.5,https://boxd.it/1SfA,
Hostel,"$4,800,000",2005,,3.5,https://boxd.it/28ig,
How High,"$12,000,000",2001,,4,https://boxd.it/20fo,
Hulk,"$137,000,000",2003,,3,https://boxd.it/27PS,
I Am Legend,"$150,000,000",2007,,3.5,https://boxd.it/21DG,
I Origins,"$1,000,000",2014,,4.5,https://boxd.it/7aRM,
Ice Age,"$59,000,000",2002,,4,https://boxd.it/2apS,
Ice Age: Dawn of the Dinosaurs,"$90,000,000",2009,,4,https://boxd.it/20iC,
Ice Age: The Meltdown,"$75,000,000",2006,,3,https://boxd.it/2wRk,
Idiocracy,"$2,400,000",2006,,3.5,https://boxd.it/20RW,
Inception,"$160,000,000",2010,,5,https://boxd.it/1skk,
Indiana Jones and the Dial of Destiny,"$387,200,000",2023,,4,https://boxd.it/b8vM,
Indiana Jones and the Kingdom of the Crystal Skull,"$185,000,000",2008,,3,https://boxd.it/2aR8,
Indiana Jones and the Last Crusade,"$48,000,000",1989,,4,https://boxd.it/2baO,
Indiana Jones and the Temple of Doom,"$28,170,000",1984,,4,https://boxd.it/2bb8,
Insidious,"$16,500,000",2010,,3.5,https://boxd.it/H4k,
Insidious: Chapter 2,"$10,000,000",2013,,3,https://boxd.it/3dqc,
Interstellar,"$165,000,000",2014,,5,https://boxd.it/4VZ8,
Iron Man,"$186,000,000",2008,,4,https://boxd.it/28dA,
Iron Man 2,"$170,000,000",2010,,3,https://boxd.it/1WZM,
Iron Man 3,"$200,000,000",2013,,3,https://boxd.it/2cBQ,
It,"$35,000,000",2017,,4,https://boxd.it/bC8e,
It Chapter Two,"$79,000,000",2019,,2.5,https://boxd.it/h10u,
It Follows,"$1,300,000",2014,,4,https://boxd.it/87wo,
Jet Set,$0,2007,,5,https://boxd.it/65Tw,
Jigsaw,"$10,000,000",2017,,3,https://boxd.it/9sDs,
Joker,"$62,500,000",2019,,4.5,https://boxd.it/h4cS,
Kick-Ass,"$29,000,000",2010,,4.5,https://boxd.it/1zaQ,
Kick-Ass 2,"$28,000,000",2013,,4,https://boxd.it/hqu,
Kingsman: The Secret Service,"$81,000,000",2014,,4,https://boxd.it/6dxe,
Kirikou and the Sorceress,"$3,900,000",1998,,4.5,https://boxd.it/1C3y,
Knowing,"$50,000,000",2009,,3,https://boxd.it/1Pmy,
Limitless,"$27,000,000",2011,,4.5,https://boxd.it/Aly,
Logan,"$97,000,000",2017,,4.5,https://boxd.it/7Piy,
Looper,"$30,000,000",2012,,4,https://boxd.it/ham,
"Love, Death & Robots: All Through the House",$0,2021,,3.5,https://boxd.it/vhXA,
"Love, Death & Robots: Alternate Histories",$0,2019,,2.5,https://boxd.it/lJHg,
"Love, Death & Robots: Automated Customer Service",$0,2021,,2,https://boxd.it/vhLk,
"Love, Death & Robots: Bad Travelling",$0,2022,,4.5,https://boxd.it/BykM,
"Love, Death & Robots: Beyond the Aquila Rift",$0,2019,,4.5,https://boxd.it/lGTe,
"Love, Death & Robots: Blindspot",$0,2019,,2.5,https://boxd.it/lJH6,
"Love, Death & Robots: Fish Night",$0,2019,,3.5,https://boxd.it/lJGs,
"Love, Death & Robots: Good Hunting",$0,2019,,3.5,https://boxd.it/lJFO,
"Love, Death & Robots: Helping Hand",$0,2019,,3,https://boxd.it/lJGW,
"Love, Death & Robots: Ice",$0,2021,,4,https://boxd.it/vhLu,
"Love, Death & Robots: Ice Age",$0,2019,,3,https://boxd.it/lJG8,
"Love, Death & Robots: In Vaulted Halls Entombed",$0,2022,,4,https://boxd.it/AW7A,
"Love, Death & Robots: Jibaro",$0,2022,,5,https://boxd.it/EqO6,
"Love, Death & Robots: Kill Team Kill",$0,2022,,3,https://boxd.it/AW6M,
"Love, Death & Robots: Life Hutch",$0,2021,,2.5,https://boxd.it/vdRe,
"Love, Death & Robots: Lucky 13",$0,2019,,3,https://boxd.it/lJGC,
"Love, Death & Robots: Mason's Rats",$0,2022,,4,https://boxd.it/AW76,
"Love, Death & Robots: Night of the Mini Dead",$0,2022,,3,https://boxd.it/AW6s,
"Love, Death & Robots: Pop Squad",$0,2021,,4,https://boxd.it/vhLE,
"Love, Death & Robots: Shape-Shifters",$0,2019,,2.5,https://boxd.it/lJFY,
"Love, Death & Robots: Snow in the Desert",$0,2021,,3,https://boxd.it/vhLO,
"Love, Death & Robots: Sonnie's Edge",$0,2019,,3,https://boxd.it/lECg,
"Love, Death & Robots: Sucker of Souls",$0,2019,,3.5,https://boxd.it/lFOW,
"Love, Death & Robots: Suits",$0,2019,,3,https://boxd.it/lFOM,
"Love, Death & Robots: Swarm",$0,2022,,4,https://boxd.it/AW84,
"Love, Death & Robots: The Drowned Giant",$0,2021,,3.5,https://boxd.it/vdRo,
"Love, Death & Robots: The Dump",$0,2019,,3.5,https://boxd.it/lJGi,
"Love, Death & Robots: The Secret War",$0,2019,,3.5,https://boxd.it/lN0g,
"Love, Death & Robots: The Tall Grass",$0,2021,,3.5,https://boxd.it/vdQU,
"Love, Death & Robots: The Very Pulse of the Machine",$0,2022,,3.5,https://boxd.it/AW5O,
"Love, Death & Robots: The Witness",$0,2019,,5,https://boxd.it/lFO8,
"Love, Death & Robots: Three Robots",$0,2019,,3.5,https://boxd.it/lECK,
"Love, Death & Robots: Three Robots: Exit Strategies",$0,2022,,3.5,https://boxd.it/AVpy,
"Love, Death & Robots: When the Yogurt Took Over",$0,2019,,3.5,https://boxd.it/lFSY,
"Love, Death & Robots: Zima Blue",$0,2019,,5,https://boxd.it/lJGM,
Madagascar,"$75,000,000",2005,,4.5,https://boxd.it/29dc,
Maze Runner: The Scorch Trials,"$61,000,000",2015,,2,https://boxd.it/9hwA,
Megan Is Missing,"$32,500",2011,,0.5,https://boxd.it/sKJG,
Memento,"$9,000,000",2000,,4.5,https://boxd.it/2bcK,
Monsters University,"$200,000,000",2013,,4,https://boxd.it/bQm,
"Monsters, Inc.","$115,000,000",2001,,4.5,https://boxd.it/2a46,
Mr. Nobody,"$47,000,000",2009,,4.5,https://boxd.it/1k44,
My Neighbor Totoro,"$236,675,000",1988,,5,https://boxd.it/20eA,
National Treasure,"$100,000,000",2004,,,https://boxd.it/27x0,
National Treasure: Book of Secrets,"$130,000,000",2007,,,https://boxd.it/21rq,
Nerve,"$19,000,000",2016,,2,https://boxd.it/aJIc,
"Next to Me, Musical",$0,2018,,2,https://boxd.it/l002,
Next to Us,$0,2024,,3,https://boxd.it/nziE,
Now You See Me,"$75,000,000",2013,,3.5,https://boxd.it/2Bsu,
Oculus,"$5,000,000",2013,,3,https://boxd.it/4W9M,
Oldboy,"$3,000,000",2003,,4,https://boxd.it/29R2,
Over the Garden Wall,"$13,500,000",2014,,5,https://boxd.it/eqFw,
Pan's Labyrinth,"$19,300,000",2006,,4,https://boxd.it/28No,
Parasite,"$11,400,000",2019,,4.5,https://boxd.it/hTha,
Passengers,"$110,000,000",2016,,3.5,https://boxd.it/8lFu,
Phone Booth,"$13,000,000",2002,,3,https://boxd.it/285G,
Piranha 3D,"$24,000,000",2010,,3,https://boxd.it/U5q,
Piranha 3DD,"$7,500,000",2012,,2.5,https://boxd.it/2qow,
Pirates of the Caribbean: At World's End,"$300,000,000",2007,,4.5,https://boxd.it/2aGu,
Pirates of the Caribbean: Dead Man's Chest,"$225,000,000",2006,,4,https://boxd.it/2bfk,
Pirates of the Caribbean: Dead Men Tell No Tales,"$275,000,000",2017,,3.5,https://boxd.it/5a9m,
Pirates of the Caribbean: On Stranger Tides,"$379,000,000",2011,,4,https://boxd.it/27Z4,
Pirates of the Caribbean: The Curse of the Black Pearl,"$140,000,000",2003,,4,https://boxd.it/70G,
Poor Things,"$35,000,000",2023,,4.5,https://boxd.it/tNWU,
Predestination,"$5,000,000",2014,,4.5,https://boxd.it/6bJM,
Primer,"$7,000",2004,,3,https://boxd.it/6YA,
Prison School,$0,2015,,3.5,https://boxd.it/py4A,
Prisoners,"$46,000,000",2013,,4,https://boxd.it/4E5i,
Project Almanac,"$12,000,000",2015,,3,https://boxd.it/6IP4,
Prometheus,"$130,000,000",2012,,3.5,https://boxd.it/2s9e,
Pulp Fiction,"$8,250,000",1994,,4.5,https://boxd.it/29Pq,
Raiders of the Lost Ark,"$20,000,000",1981,,4,https://boxd.it/2bbs,
RoboCop,"$115,000,000",1987,,4,https://boxd.it/22Wu,
Saw,"$1,200,000",2004,,4.5,https://boxd.it/2aWW,
Saw 3D,"$17,000,000",2010,,,https://boxd.it/Znk,
Saw II,"$5,000,000",2005,,,https://boxd.it/2aRs,
Saw III,"$10,000,000",2006,,,https://boxd.it/2aRC,
Saw IV,"$10,000,000",2007,,,https://boxd.it/29Sa,
Saw V,"$10,800,000",2008,,,https://boxd.it/1SMa,
Saw VI,"$11,000,000",2009,,,https://boxd.it/1A2y,
Saw X,"$13,000,000",2023,,,https://boxd.it/zUWk,
Scary Movie,"$19,000,000",2000,,3.5,https://boxd.it/24CG,
Scary Movie 2,"$45,000,000",2001,,3,https://boxd.it/24Cw,
Scary Movie 3,"$48,000,000",2003,,2.5,https://boxd.it/24Be,
Scary Movie 4,"$40,000,000",2006,,3,https://boxd.it/24B4,
Scary Movie 5,"$20,000,000",2013,,1.5,https://boxd.it/24AU,
School of Rock,"$35,000,000",2003,,4,https://boxd.it/28xK,
Se7en,"$30,000,000",1995,,4.5,https://boxd.it/29zs,
Serial Experiments Lain,$0,1998,,5,https://boxd.it/hYQE,
