"['Thriller', 'Horror']"
"['Animation', 'Fantasy', 'Adventure', 'Family', 'Drama']"
['Horror']
"['Horror', 'Thriller', 'Crime']"
"['Adventure', 'Romance', 'Family', 'Fantasy', 'Animation']"
"['Horror', 'Science Fiction']"
"['Science Fiction', 'Action', 'Horror']"
"['Science Fiction', 'Thriller', 'Horror']"
"['Horror', 'Science Fiction', 'Action']"
"['Science Fiction', 'Horror', 'Thriller', 'Action']"
"['Family', 'Fantasy', 'Drama', 'Animation', 'Comedy']"
"['Romance', 'Comedy']"
"['Crime', 'Thriller', 'Horror', 'Drama']"
"['Horror', 'Science Fiction']"
"['Drama', 'Comedy']"
"['Adventure', 'Science Fiction', 'Action']"
"['Science Fiction', 'Mystery', 'Drama']"
"['Horror', 'Thriller', 'Comedy']"
"['Fantasy', 'Science Fiction', 'Adventure', 'Action']"
"['Action', 'Adventure', 'Science Fiction']"
"['Science Fiction', 'Action', 'Adventure']"
"['Action', 'Science Fiction', 'Adventure']"
"['Comedy', 'Science Fiction', 'Adventure']"
"['Comedy', 'Science Fiction', 'Adventure']"
"['Science Fiction', 'Comedy', 'Adventure']"
"['Crime', 'Action', 'Drama']"
"['Action', 'Thriller', 'Drama']"
"['Comedy', 'Fantasy', 'Drama']"
"['Science Fiction', 'Thriller', 'Drama', 'TV Movie', 'Mystery']"
"['Drama', 'Thriller', 'TV Movie', 'Science Fiction']"
['Comedy']
['Comedy']
"['Comedy', 'Fantasy']"
"['Science Fiction', 'Action', 'Adventure']"
"['Drama', 'Horror']"
['Drama']
"['Action', 'Drama', 'Science Fiction', 'Thriller']"
"['Thriller', 'Mystery', 'Science Fiction', 'Horror', 'Drama']"
"['Fantasy', 'Action', 'Horror']"
"['Thriller', 'Science Fiction', 'Mystery']"
"['Thriller', 'Science Fiction', 'Mystery']"
"['Mystery', 'Science Fiction', 'Thriller']"
"['Science Fiction', 'Action', 'Thriller']"
"['Drama', 'Crime']"
"['Action', 'Comedy', 'Adventure']"
"['Science Fiction', 'Action', 'Comedy']"
"['Action', 'Comedy', 'Adventure']"
"['Animation', 'Mystery']"
['Drama']
"['Horror', 'Thriller', 'Mystery']"
"['Action', 'Adventure', 'Fantasy']"
"['Thriller', 'Horror']"
"['Science Fiction', 'Horror', 'Action']"
['Comedy']
['Comedy']
"['Science Fiction', 'Adventure']"
"['Adventure', 'Science Fiction']"
"['Science Fiction', 'Action']"
"['Crime', 'Drama', 'Thriller']"
"['Drama', 'Mystery', 'Animation']"
"['Mystery', 'Animation']"
"['Science Fiction', 'Adventure', 'Comedy', 'Action']"
['Horror']
"['Science Fiction', 'Drama']"
"['Mystery', 'Thriller']"
['Drama']
['Horror']
"['Mystery', 'Horror']"
"['Mystery', 'Horror']"
"['Horror', 'Mystery']"
"['Animation', 'Family']"
"['Horror', 'Mystery']"
"['Drama', 'Comedy', 'Romance']"
['Horror']
['Horror']
"['Fantasy', 'Animation', 'Adventure', 'Family']"
"['Drama', 'Comedy']"
"['Science Fiction', 'Animation', 'Action']"
"['Animation', 'Science Fiction', 'Action']"
"['Drama', 'Action', 'Science Fiction']"
"['Fantasy', 'Thriller', 'Action']"
"['Action', 'Thriller', 'Fantasy']"
"['Thriller', 'Drama', 'Science Fiction']"
"['Thriller', 'Action', 'Adventure', 'Science Fiction']"
"['Adventure', 'Action', 'Science Fiction']"
"['Action', 'Science Fiction', 'Adventure']"
"['Action', 'Adventure', 'Science Fiction']"
"['Horror', 'Fantasy', 'Thriller']"
"['Horror', 'Fantasy', 'Thriller']"
"['Thriller', 'Horror']"
"['Horror', 'Science Fiction']"
"['Thriller', 'Horror', 'Mystery']"
"['Thriller', 'Horror', 'Mystery']"
"['Fantasy', 'Science Fiction', 'Horror']"
"['Mystery', 'Horror', 'Fantasy']"
['Horror']
"['Family', 'Animation', 'Adventure', 'Comedy', 'Drama']"
"['Animation', 'Adventure', 'Romance', 'Comedy', 'Fantasy', 'Family']"
"['Animation', 'Comedy', 'Family', 'Adventure', 'Fantasy']"
['Horror']
['Comedy']
"['Science Fiction', 'Adventure', 'Action']"
"['Thriller', 'Drama', 'Science Fiction']"
"['Drama', 'Science Fiction']"
"['Comedy', 'Adventure', 'Family', 'Animation']"
"['Comedy', 'Adventure', 'Family', 'Animation']"
"['Adventure', 'Comedy', 'Family', 'Animation']"
"['Science Fiction', 'Comedy', 'Adventure']"
"['Action', 'Adventure', 'Science Fiction']"
"['Action', 'Adventure']"
"['Action', 'Adventure']"
"['Adventure', 'Action']"
"['Action', 'Adventure']"
"['Horror', 'Thriller']"
"['Horror', 'Thriller']"
"['Science Fiction', 'Drama', 'Adventure']"
"['Adventure', 'Science Fiction', 'Action']"
"['Adventure', 'Science Fiction', 'Action']"
"['Action', 'Adventure', 'Science Fiction']"
"['Thriller', 'Horror']"
"['Horror', 'Thriller']"
"['Horror', 'Mystery']"
['Animation']
"['Mystery', 'Thriller', 'Horror']"
"['Crime', 'Drama', 'Thriller']"
"['Crime', 'Action']"
"['Action', 'Crime', 'Adventure']"
"['Comedy', 'Crime', 'Adventure', 'Action']"
"['Animation', 'Fantasy', 'Family', 'Adventure']"
"['Mystery', 'Science Fiction', 'Thriller', 'Action']"
"['Thriller', 'Science Fiction', 'Mystery']"
"['Drama', 'Science Fiction', 'Action']"
"['Science Fiction', 'Thriller', 'Action']"
"['Animation', 'Fantasy', 'Science Fiction']"
"['Animation', 'Fantasy', 'Science Fiction']"
"['Science Fiction', 'Animation', 'Fantasy']"
"['Mystery', 'Thriller', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Animation', 'Action']"
"['Animation', 'Drama']"
[]
[]
[]
[]
"['Animation', 'Adventure', 'Action']"
"['Animation', 'Fantasy', 'Science Fiction']"
[]
"['Horror', 'Animation', 'Adventure']"
[]
"['Fantasy', 'Science Fiction', 'Animation']"
"['Fantasy', 'Science Fiction', 'Animation']"
"['Animation', 'Fantasy', 'Science Fiction']"
"['Animation', 'Fantasy', 'Science Fiction']"
"['Fantasy', 'Animation', 'Science Fiction']"
"['Fantasy', 'Animation', 'Science Fiction']"
"['Animation', 'Science Fiction', 'Fantasy']"
"['Comedy', 'Animation', 'Fantasy']"
"['Animation', 'Fantasy', 'Science Fiction']"
"['Animation', 'Fantasy', 'Science Fiction']"
"['Animation', 'Fantasy', 'Science Fiction']"
"['Animation', 'Fantasy', 'Science Fiction']"
"['Animation', 'Fantasy', 'Science Fiction']"
"['Fantasy', 'Science Fiction', 'Animation']"
"['Animation', 'Fantasy', 'Science Fiction']"
"['Fantasy', 'Science Fiction', 'Animation']"
"['Science Fiction', 'Fantasy', 'Animation']"
"['Animation', 'Fantasy', 'Science Fiction']"
"['Animation', 'Science Fiction', 'Fantasy']"
"['Fantasy', 'Animation', 'Science Fiction']"
"['Animation', 'Science Fiction', 'Fantasy']"
"['Family', 'Adventure', 'Comedy', 'Animation']"
"['Thriller', 'Science Fiction', 'Action', 'Adventure']"
"['Horror', 'Drama', 'Thriller']"
"['Mystery', 'Thriller']"
"['Animation', 'Family']"
